2016,2017,2018,2019,2020,2021
3.1,7.1,7.8,14,3.9,18.2
5.1,5.6,9.9,6.5,6.8,6
6.7,7.7,6.8,9.4,3.7,2.9
2.6,5.1,12.7,15.5,5.6,8.8
4,5.6,13.4,11.5,10.5,7.7
2.8,5.8,11.2,4.7,7.7,9.2
2.3,15.5,3.7,7.4,5.2,12
4,13.4,14.2,4.8,5.2,14.6
4.8,4.8,14.7,7.2,3.3,9.4
7,4.5,7.2,4.7,4.2,3.4
6.7,12.8,9.1,4.5,5.9,5.8
4.3,11.5,7.9,4.3,11.1,6.8
3.1,11.7,11.8,6.4,7.9,5.3
3.2,4.5,15.4,14.1,13.9,6.1
7.7,8.4,9.5,7.5,8.2,7.1
5.1,7.5,4.8,7.8,4.8,10.4
6.9,8.2,7.4,6.5,3.5,9.2
7.5,5,10.4,6.1,3.4,10.9
4.3,7.1,16.2,9.7,2.3,8.9
5,5.3,16.8,11.3,4.7,8
9.4,5.2,7.9,5,2.9,5.6
14.2,6.7,9.1,6.2,6.1,7.6
8.6,4.5,14.2,6.7,10.8,8.5
5.3,4.6,7.2,9.1,7.9,8.8
3.7,9.3,9.6,13.1,4.5,3.2
3.9,5.8,11.2,6.8,3.3,4.3
5.4,7.9,5.8,6.5,4.3,3.6
4.5,11.8,9.7,6.4,5.3,3.5
4.5,8.5,7.6,18,4.7,7.7
4.1,5.1,17.2,12.6,5.7,4.3
4.8,5.6,11.6,8.5,5.3,4.4
4,16.4,7.9,6,9.7,4
4.5,14.1,10.2,6.6,4.7,6.3
6.6,11.1,6.7,8.3,4,2.4
5.2,7.3,6.8,5.2,3.2,2.6
3.9,6.6,8.1,6.1,4.7,4.5
6.2,6.7,6.1,5.4,4.7,5.4
8.8,12.8,8.6,5.2,6,3.9
8.9,11.2,11,6.9,5.6,4.5
6.1,11.1,7.7,9,4.4,4.2
9.7,13.5,9.4,6.3,4,5.9
9.6,6,5.9,7.1,8.7,7
5,4.7,7.9,8.4,16.7,5
4.4,8.2,10.5,5.6,8.5,5.7
6.5,6.4,13,4.9,5.8,11.3
9.2,6.6,6.2,6.1,3.2,12.5
9.7,14.1,4.8,4.1,3.9,4.9
8.6,4.8,5.6,7,6.8,6.1
8.1,4.1,7,5.5,7.5,8.9
8,4.8,5.1,6.5,7.7,11.8
9.8,5,5.3,9.2,5.2,9.5
4.7,12.1,6.7,10.6,7.9,6.1
7.2,6,7,6.3,4.8,8.8
5.8,7.3,6.4,6,3.7,6.7
7.8,7.9,5.9,8.1,4.9,10.7
8.1,7.3,5.2,6.7,6.2,13.9
6.8,20.7,10.4,6.1,7,10.7
6.9,5.8,13,5.8,3.6,8.7
8.5,3.9,6,6.2,4.9,8.6
10.1,4.7,5.7,7.8,3.5,9.4
9.9,9.4,10.5,6.6,9.8,7
13.4,9.2,11.1,7,3.2,10.5
12.8,7,6.1,5.6,4.9,11.1
7.8,7.4,8.2,6.3,2.3,12.3
10,15.8,4.6,8.3,5,8.8
12,12.8,7.7,25.2,5.4,7.4
8.5,10.2,9.5,6.5,4.5,7.3
8.5,10.5,6.4,8.1,2.5,12.6
11.2,7.6,5.7,6.7,3.7,9.8
13.4,7.8,6.3,11.4,6.6,6.6
7.9,7.1,5.9,11.7,8,54.8
9.3,7.4,7.2,6.2,5.9,6.2
10.7,6.7,9.4,7.7,5.3,9.1
10.6,7.3,13.7,5.6,5.5,7.1
8.8,12.3,6.9,5.3,4.3,9
8.8,8.8,6.1,5.3,5.1,8.6
9.8,9.2,8.7,8.8,4.3,9.2
7,8.4,4.7,11,5.7,10.8
9.3,8.4,6.4,11.7,5.5,8
18.1,32.7,10.5,7.5,3.6,5.5
14.5,6.8,7.6,6.2,3.6,6.1
8.8,7.2,7.9,7,5.4,8
7.8,7,9.5,10.6,13.9,8.5
9.1,6,8.9,13.1,5.5,8.2
9.9,8.6,6.9,13.4,7,12.2
11.4,4.2,5.8,11.1,5.2,15.1
22.5,4.6,5.7,12.4,7.3,10.3
10.3,43.2,7.3,11,5.7,10.6
8.5,15.2,8.1,9.9,3.4,11.2
6.5,7.2,6.4,9.8,4.4,9.9
6,8.5,6.2,10.7,4.8,6.9
8.4,19.2,6.7,7.2,4.8,6.6
12,13.4,9.6,9.5,4,4.5
10.7,17.6,12,5.3,3.6,4.6
11.5,17.1,8.1,5.4,4.1,7.1
12,10.2,7.1,5.4,3.3,10
7.5,14.2,8.1,6.3,4.3,6.1
7.1,14.1,10.1,34.6,3.5,6.3
10.1,11.1,8.9,6.4,6,10.7
3.5,9.5,13.5,8.1,5.1,9.6
6,6.2,9.4,6.6,3.6,9.4
5.4,6.3,17.5,5.7,5.4,5.9
8.1,5.7,19.2,10.6,4.6,9.3
14.5,6.3,5.4,6.1,5.4,4.1
7,6.5,8.3,10.8,5.4,4.3
5.6,7.2,9.9,7.8,4.2,7
7.3,6.8,14.3,5.8,5.1,5.6
6.7,6.3,11.1,9.6,5.4,10.1
6.9,5.1,13.9,7.1,4.8,6.8
7.6,5.9,21.6,8,4.8,7.3
9.5,4.3,6.5,4.7,5.1,5.2
6.8,9,9,4.4,7.1,13.1
8.6,21.3,9.3,6.1,5.7,12.9
18.8,4.5,11,7.6,5.8,3.3
10.3,9.4,10,7.8,5,3.6
8.6,10.1,8.9,6.5,8.1,3.6
10.9,4.6,9.7,6,8.1,5.4
7.7,3.3,11.4,7.7,7.3,14.9
6.4,4.8,7.1,4.7,7.1,8.2
9.2,5,7.7,5.8,7.3,6.8
6.4,4.1,20.6,6.5,5.4,16.1
7.6,5.2,7,6.1,8.9,11
6.3,7.2,6.5,5.9,4.8,12.9
16.3,4.6,6.2,7.6,8.6,8.1
9.3,6.2,6.1,5.3,8.2,7.4
8,5.8,9.5,6.6,7.6,7.5
7.7,4.8,7.1,6.7,5.9,7.2
7,5.8,7.1,6.5,4.8,9.8
7.6,4,7.7,5.3,4.8,8.5
11.1,6,7.7,6,4.6,8.3
11.7,5.1,7.9,8.7,4.5,6.4
8.7,5.3,6.6,7.4,4.9,8.8
7.9,18.4,7.5,7.8,5.5,7.4
15.1,5.1,6.6,11.4,8.2,9.7
7.4,5.9,6.8,6.4,5.8,8.2
5,4.2,9.7,6.6,4.6,7.7
6.8,4.6,16.6,22.2,4.3,14.1
8,9,7.6,10.1,5.3,6.5
6.6,7,12.7,17.5,4.4,6.6
8.9,7.4,8.2,11,4.9,8.8
9.6,6,7.6,7.9,5.8,10.5
11.6,8.5,8,5.8,6.4,9
11.5,9,6.8,22.6,8.1,7.1
10.6,7.4,7.3,11.8,7.7,11.3
10.5,5.8,8.9,8.8,4.6,10.1
12.1,8.2,5.8,5.7,3.9,9.2
10.4,13.4,6.7,15.1,4.6,9.8
9.3,13.3,6.7,11.7,5.2,26.4
6.6,7.9,8.2,11.4,5.5,8.5
6.7,8.6,8.1,10.2,6.1,8
7.4,6.9,8.4,10.1,9.5,15.4
11.2,12.1,10,6,8.2,7.1
8,16.9,18.8,6.5,5.6,6.4
7.2,6.3,14.4,9,4.5,7.9
8.6,4.6,18.1,7.6,6.9,7
9.6,7.8,11.8,9,4.3,9.1
8.8,11.3,10.2,5.4,9,18.6
8.4,10.4,10.6,9.9,10.1,16.8
12,9.5,10.4,9.3,6.1,11.3
7.6,5.8,8.8,8.2,5.3,7.7
7.6,7.7,8.2,7.5,7.4,8.2
8.6,8.8,9.3,8.7,6,9.6
7.1,8.7,13.9,8.5,4,10
7.4,9.2,10.2,9.1,3.4,10.9
6.5,10.5,9.6,7,4.5,17.7
6.6,10.7,7,8.9,5.1,29
8.5,9,5.4,6.8,10.9,20.9
10.3,8,6.4,7.1,5.7,18.3
7.6,9.7,4.2,7.5,9,15
11.9,13.3,6.6,12.5,13,7.3
12.2,11.4,6,11.3,6.6,8.9
13,12.2,5,12.5,7.3,15.4
14.5,9.4,4.6,12.1,7.8,5.8
9.2,8,10.5,9.2,8.3,5
8.3,7.5,10.1,10.6,5.8,6.6
7.5,9.7,10.4,12.5,10.9,4.5
6.8,9.1,7,5.9,8,4
7.2,12.9,9.8,8.3,4.8,5.7
9.6,9,5.8,13.5,5.1,5.4
6.5,10.2,4.8,7.8,7.8,5.4
5.3,12.3,5.4,5.7,5.6,6
6.1,9.4,5.2,6.1,5.7,4.5
7.4,6,7.2,7.9,25.7,6.6
9.3,5.9,8.3,9.3,6.3,7.6
8.2,4.7,6.2,9.7,7.6,5.8
10.4,3.8,6.8,10.6,9.6,6.5
6.5,3.9,4.4,7.7,10.3,13.6
9.7,7,4.4,7.8,6.6,8.7
6.8,4.6,6.9,9.3,7,6.6
6.5,5,9,8.9,10.6,6.3
6.8,8.7,6.8,7.4,7.2,8.1
6.7,5.5,4.3,8.4,8.7,8.3
19.5,6.7,4.1,7.4,6.5,9.9
13.1,6.8,3.7,7.3,6.2,10.8
10.9,7.5,5.1,9.9,5.3,11.4
10.4,7.7,8.2,9.6,8.8,8.4
9.7,4.7,10.3,7.6,10.4,5.2
8.8,8.7,7.5,7.2,7.5,3.9
6.4,7.2,6.3,7.7,6.3,5.4
6.8,5.9,6.8,7.8,5.6,8.4
8.1,7.4,6.7,7.5,5,7.7
21.7,7.3,8.2,7.8,4.7,7.2
20.8,5.1,9.5,23.2,3.6,6.6
9,4.7,8.3,8.7,5.4,5.8
8,5.1,8.9,8.2,5.8,5.5
9.1,4.6,7,6.1,8.3,7.2
10.9,6,8.2,8.4,7.8,16.9
7,9.1,9.5,8,7.2,13
7.2,6.4,6.9,7,4.8,13.3
8.2,5.5,7.6,8.6,5.8,13.9
7,4.8,8.4,7.2,4.5,11.5
6.1,7.1,8.9,5.7,6.3,6
5.8,8,5.7,5.7,5.5,5.6
7.8,6.2,6.5,5.7,7.5,6.1
7.9,5.4,6.6,4.9,5.2,3.6
8.3,7.4,6.2,5.7,6.3,3.2
10.5,7.2,9.3,5.6,6.2,3.7
6.5,6.8,5.8,9.1,6.8,2.9
4.6,9.2,5.5,9,7.3,2.7
4.6,10.5,6.9,7.8,6.9,4.1
6.2,8.6,6.9,6.8,7.3,5.8
5.8,9.8,8.9,6.6,7.6,5.6
5.7,9.4,9.2,7.8,8.3,5.6
7.3,11.1,10.7,9.3,8.3,7
6.9,17.4,7.4,11.9,12.5,7
6.6,13.5,6.4,8.5,9.1,7
7.5,11.3,7.4,9.3,13.9,6
5.9,13,8.9,7.1,11.9,5.1
7.2,15.9,9.2,6.4,13.1,5.8
5.5,16.8,9.9,6.8,10.6,6.2
7,14,8.8,14.8,7.5,6.7
6.6,10.1,5.8,9.3,8.5,6.6
7.6,10.2,4.9,7.7,10.3,6.3
8.3,14.7,6.6,7.5,12.3,10.1
6.8,13.1,5.6,7.8,9.4,10.3
7.6,8,5.7,8,7.3,4.4
5.9,9.3,8.2,6.5,6.1,6.8
7.4,9.1,8.4,7.5,5,5.4
6.6,8.6,8.3,8,7.2,5.6
6.5,8.1,7.4,7.9,10.9,10.6
7.2,9.3,8.7,6,6.1,29.4
7.9,8.6,4.9,6,5.7,20.3
8.1,8.3,3.3,5.8,6.5,16.5
10.1,8.3,3.3,5.5,10.3,21.9
9,8.9,6.1,5.2,11,17.5
6.5,5.8,5.1,5,3.1,11.4
5,7.6,4.9,5.2,2.6,14.3
4.9,9.1,4.8,5.5,4.4,14.8
7.3,4.1,6.7,5.9,6.4,19.3
7.9,3.9,5.8,5.7,8,9.9
8.5,3.7,6.9,6,8.3,10.2
5.7,3.9,7.7,4.1,8.3,10
6.4,5.6,6.4,4.2,7.4,7.8
8.6,7.5,6.1,4.3,7.8,5
8.8,10,3.4,4.9,9.1,8.7
6.7,4.9,2.9,5.8,12.5,7.4
9.5,5.9,3.4,5.6,11.3,8.2
8.9,10.1,3.3,3.9,18.4,6.6
10.6,8.2,4.4,3.9,16.6,4.5
9.4,12.1,3.8,4.5,9.8,4.9
9,12,4.3,4.9,8.3,4.1
8.4,5.7,4.5,5.8,10,4.2
6.4,10.1,5.8,5.7,7.4,6.5
7.4,11.7,7.6,6,6.2,5.1
8.5,6.4,5.4,7.7,12.2,7.2
5.6,6.6,5.8,4.3,8.5,6.5
9.2,5,6.9,5.8,12.4,7.1
8,8.6,9.7,6,9.6,7.7
5.5,6.7,6.8,8,8.1,9.2
7.5,7.1,5.2,7.9,7.2,6.8
5.1,11.1,6.8,6.2,11.4,9.5
7.1,10.5,6.4,7.4,13.5,5.9
5.5,6.1,5.3,8.1,14.2,7.9
5.8,10.9,4.6,7,15.8,8.7
6.6,6.6,4.7,7.1,10.8,12.6
7.3,5.4,4.9,6.8,7.9,12.4
4.7,4.7,4.5,9.6,7.3,9.2
4.8,6.9,3.6,12.2,14.1,7.4
8.5,8.2,9.3,6.6,17.4,5.9
9.6,10.3,8.8,5.7,11.2,7
9.7,8.8,4.2,7.3,7.9,8.6
10.8,6,3.9,10.9,8.6,8.5
12.3,11.5,5.6,6.5,8.8,10.8
8.1,13.9,3.4,8.1,8.4,10.7
6.3,15.4,3.8,7.7,9.8,11.3
6,6.5,3.9,8.7,10.1,6.6
7.3,8.3,3.2,8.8,11.3,8.5
7.9,8.7,3.9,8.6,8.7,11.3
8.3,11.7,4.4,9,7.2,11.5
9.6,14,4.6,10.3,8.3,4.7
13,12.3,5.1,9.3,6.7,9.3
14.5,9.2,4.4,8.2,8.4,10.9
14.2,8.7,5.8,10.4,6.9,11
9.4,5.9,6.6,10,7.5,9.3
7.8,5.9,8.6,14.1,6.4,11.2
8.9,5.6,8.4,8.6,11,5.8
10.1,15.2,10.7,15.1,10.6,7.7
13.6,15.3,9,12.1,6.3,10.5
12.8,13.7,5.6,11.9,6.5,14.6
8.9,11.6,6.1,10.4,8.9,13.6
7,10.3,4.7,10.1,10.7,11.5
5.7,11.2,5.9,9.3,4.9,6.1
5.3,15.9,4.3,9.7,7.4,5.5
7.3,15.7,4.9,8.9,8.4,7.4
8.1,15.5,5.3,6.9,10.1,6
6.9,6.7,5.2,5.5,8.1,11.2
6.3,6.7,4.7,7,7.3,9
5.3,5.8,6,8.4,10.1,
5.3,5.7,7.3,8.7,12.3,
5.9,5.1,7.2,11.4,10,
7.6,12.2,4.7,15.2,8.9,
9.5,16.7,7.2,13.7,9.8,
9.2,5.2,16.7,9.8,10.3,
8.7,9.7,13.1,6.5,8.9,
8,14.6,11.3,6.9,11.9,
6,9.5,9.3,6.3,15.5,
5,6.4,13,11.4,18.1,
7.9,10,11.7,5.9,12.6,
9.7,,7.7,4.6,9.7,
5.3,,16,9.3,10.2,
10.6,,11.7,6,8.6,
8.3,,4.6,6.7,7.9,
6.3,,5,5.9,13.5,
9.1,,5.3,7.9,12.4,
7.3,,8.5,10.8,6.8,
6.2,,8.6,10.1,7,
4.8,,7.4,8.4,9.3,
9.2,,8.3,5,5.3,
20.1,,9.6,7.8,5.1,
9.7,,5.2,9,9.1,
7,,5.4,6.9,11.2,
15.1,,8.6,8.2,10.2,
5.4,,8.5,8.4,13.7,
8.7,,10.7,8.9,13.1,
12.2,,15.9,7,20.4,
6.7,,8.1,4.7,11.2,
7,,13.8,5.3,4.1,
9.1,,14.1,5.8,4.4,
7.2,,8.4,5.1,6.9,
6.6,,6.8,6.2,10.9,
5.7,,6.4,6.5,4.3,
8.6,,5.9,13.5,7,
10,,10.8,13.8,14.7,
8.5,,11,13,4.9,
17.7,,10.2,13.1,6.6,
8.1,,6.4,19.6,12.4,
10.4,,4,17.4,7.3,
19.1,,4.6,7,5.9,
16.8,,11.1,6.1,7.3,
7.2,,7.2,6.1,,
8.9,,4.9,4.5,,
9.6,,5.1,5.2,,
4.9,,13.1,6.5,,
11.1,,18.3,13.6,,
8.1,,5.4,,,
8.7,,5,,,
7.3,,5.6,,,
6.3,,3.9,,,
7.7,,5.9,,,
,,23.3,,,
